Создан как новый массив данных;Образец 1522 полученный PEService Дата пятница, декабря 01 2023
cm-1;%T
3434,00;100,23
3433,00;100,25
3432,00;100,28
3431,00;100,32
3430,00;100,36
3429,00;100,40
3428,00;100,43
3427,00;100,46
3426,00;100,48
3425,00;100,50
3424,00;100,53
3423,00;100,55
3422,00;100,57
3421,00;100,60
3420,00;100,62
3419,00;100,63
3418,00;100,65
3417,00;100,66
3416,00;100,67
3415,00;100,69
3414,00;100,70
3413,00;100,71
3412,00;100,72
3411,00;100,73
3410,00;100,73
3409,00;100,74
3408,00;100,74
3407,00;100,74
3406,00;100,75
3405,00;100,75
3404,00;100,76
3403,00;100,77
3402,00;100,79
3401,00;100,79
3400,00;100,80
3399,00;100,80
3398,00;100,79
3397,00;100,78
3396,00;100,78
3395,00;100,78
3394,00;100,78
3393,00;100,79
3392,00;100,79
3391,00;100,80
3390,00;100,79
3389,00;100,79
3388,00;100,78
3387,00;100,78
3386,00;100,78
3385,00;100,78
3384,00;100,78
3383,00;100,78
3382,00;100,78
3381,00;100,78
3380,00;100,78
3379,00;100,78
3378,00;100,78
3377,00;100,77
3376,00;100,77
3375,00;100,77
3374,00;100,77
3373,00;100,78
3372,00;100,78
3371,00;100,79
3370,00;100,80
3369,00;100,80
3368,00;100,80
3367,00;100,80
3366,00;100,80
3365,00;100,80
3364,00;100,80
3363,00;100,80
3362,00;100,80
3361,00;100,80
3360,00;100,80
3359,00;100,80
3358,00;100,80
3357,00;100,80
3356,00;100,80
3355,00;100,80
3354,00;100,80
3353,00;100,80
3352,00;100,80
3351,00;100,80
3350,00;100,80
3349,00;100,80
3348,00;100,80
3347,00;100,80
3346,00;100,80
3345,00;100,80
3344,00;100,81
3343,00;100,81
3342,00;100,80
3341,00;100,80
3340,00;100,80
3339,00;100,81
3338,00;100,81
3337,00;100,81
3336,00;100,81
3335,00;100,81
3334,00;100,81
3333,00;100,81
3332,00;100,81
3331,00;100,81
3330,00;100,81
3329,00;100,81
3328,00;100,81
3327,00;100,81
3326,00;100,81
3325,00;100,81
3324,00;100,81
3323,00;100,81
3322,00;100,80
3321,00;100,80
3320,00;100,80
3319,00;100,80
3318,00;100,80
3317,00;100,80
3316,00;100,80
3315,00;100,80
3314,00;100,80
3313,00;100,80
3312,00;100,80
3311,00;100,81
3310,00;100,81
3309,00;100,81
3308,00;100,81
3307,00;100,82
3306,00;100,82
3305,00;100,82
3304,00;100,81
3303,00;100,81
3302,00;100,81
3301,00;100,81
3300,00;100,80
3299,00;100,80
3298,00;100,81
3297,00;100,81
3296,00;100,81
3295,00;100,81
3294,00;100,81
3293,00;100,81
3292,00;100,81
3291,00;100,81
3290,00;100,81
3289,00;100,80
3288,00;100,80
3287,00;100,80
3286,00;100,80
3285,00;100,80
3284,00;100,80
3283,00;100,80
3282,00;100,80
3281,00;100,80
3280,00;100,80
3279,00;100,80
3278,00;100,80
3277,00;100,81
3276,00;100,81
3275,00;100,81
3274,00;100,81
3273,00;100,81
3272,00;100,81
3271,00;100,81
3270,00;100,81
3269,00;100,81
3268,00;100,81
3267,00;100,81
3266,00;100,81
3265,00;100,80
3264,00;100,80
3263,00;100,80
3262,00;100,80
3261,00;100,80
3260,00;100,80
3259,00;100,80
3258,00;100,80
3257,00;100,81
3256,00;100,81
3255,00;100,81
3254,00;100,80
3253,00;100,80
3252,00;100,80
3251,00;100,80
3250,00;100,80
3249,00;100,80
3248,00;100,80
3247,00;100,80
3246,00;100,80
3245,00;100,80
3244,00;100,80
3243,00;100,80
3242,00;100,80
3241,00;100,80
3240,00;100,80
3239,00;100,80
3238,00;100,80
3237,00;100,80
3236,00;100,80
3235,00;100,80
3234,00;100,80
3233,00;100,80
3232,00;100,80
3231,00;100,80
3230,00;100,80
3229,00;100,80
3228,00;100,80
3227,00;100,79
3226,00;100,79
3225,00;100,79
3224,00;100,80
3223,00;100,80
3222,00;100,79
3221,00;100,79
3220,00;100,79
3219,00;100,79
3218,00;100,79
3217,00;100,79
3216,00;100,79
3215,00;100,79
3214,00;100,79
3213,00;100,79
3212,00;100,79
3211,00;100,79
3210,00;100,79
3209,00;100,79
3208,00;100,79
3207,00;100,79
3206,00;100,79
3205,00;100,78
3204,00;100,78
3203,00;100,78
3202,00;100,78
3201,00;100,78
3200,00;100,78
3199,00;100,78
3198,00;100,78
3197,00;100,78
3196,00;100,78
3195,00;100,78
3194,00;100,78
3193,00;100,78
3192,00;100,78
3191,00;100,78
3190,00;100,78
